,Comment,id,date,Pos,Neg,Neu
116,"3:15 Has it been discussed why the seat adjustments are now next to door handle? In a rush or emergency I want to grab the door, not the recline or seat height. Nor do I want to make it any easier for the valet to mess with things.","
 @neisjo
 ",6 months ago,0.107,0.101,0.792
117,8:05 love the blooper reel ,"
 @vance_ofcl
 ",6 months ago,0.512,0.0,0.488
118,Mat is a Detailers nightmare ,"
 @davidgraham9804
 ",6 months ago,0.0,0.0,1.0
119,its expensive but its a plug in hybrid which adds a lot to the price,"
 @danchopansa6804
 ",6 months ago,0.0,0.0,1.0
120,We need a special Carwow drag race for Christmas!,"
 @okithdesilva129
 ",6 months ago,0.275,0.174,0.551
121,Cheers Matt. All the best to you and yours for Christmas pal.,"
 @SalfordRedDevil
 ",6 months ago,0.422,0.0,0.578
122,5:53 that's a reason why physical buttons are way better and more reliable,"
 @Trackhawk_Gle53
 ",4 months ago,0.209,0.0,0.791
123,"Now I am waiting for this versus the BMW X3, the Audi Q5 and the Volvo XC60","
 @sanchaynarain3532
 ",6 months ago,0.0,0.0,1.0
124,Did Mat get some of the horse power figures incorrect so they had to dub over ,"
 @Hammertime4404
 ",6 months ago,0.0,0.0,1.0
125,Unfortunately the Diesel Plug in Hybrid (300 de) is not available in the UK as per the Mercedes UK official website. Shame...,"
 @MrWestcliffe
 ",4 months ago,0.0,0.103,0.897
126,So sad the upcoming GLC63 won’t have a V8 ,"
 @Mrcarwow
 ",6 months ago,0.0,0.326,0.674
127,The intros have always being very good,"
 @admiralcat8409
 ",6 months ago,0.347,0.0,0.653
128,That red Range Rover interaction is precisely how it is ,"
 @HotRodM4
 ",6 months ago,0.0,0.0,1.0
129,"@2:19 the competitor at Audi is the Q5, not the Q3 as shown!","
 @florents.5841
 ",6 months ago,0.0,0.0,1.0
130,"Will never understand the column mounted drive selector on merc's, that's some super old school American style. I had a C63 AMG as a rental not too long ago and I just couldn't believe it, it's something I would expect to see in an 80's Crown Vic.","
 @stitch438
 ",5 months ago,0.087,0.0,0.913
131,"Hey Matt, you are always  annoyed with squeaking brakes on hybrids and evs, i reckon that's because of reg breaking, investigate why is that so and is it fixable.","
 @dino4074
 ",6 months ago,0.0,0.088,0.912
132,"The leatherette ""makes it seem expensive"". It IS expensive!","
 @colinbooth531
 ",6 months ago,0.0,0.0,1.0
133,good one. matt rules the car review space,"
 @SuperSuchties
 ",4 months ago,0.293,0.0,0.707
134,When is your actual EQE SUV review coming? Really looking forward to it!,"
 @fluttershy77x
 ",5 months ago,0.0,0.0,1.0
135,you changed the camera from inside looks really cinematic. nice,"
 @constantincristianpredescu697
 ",5 months ago,0.255,0.0,0.745
136,I have a CLA35 and the seat thing where the back sticks out so much and therefore interferes with a child seat is so annoying! Wouldn't mind a GLC as the family wagon but if it can't take two bulky child seats then that kills it for those with babies/young children somewhat. Shame as currently have a Q5 and quality and service from Audi has been appalling.,"
 @jackwhorton6826
 ",5 months ago,0.0,0.197,0.803
137,This was fun! Great review.,"
 @ihannula
 ",6 months ago,0.719,0.0,0.281
138,"I don’t really like the huge screen , old s class infotainment display looks better then this huge on.","
 @gigachad5465
 ",6 months ago,0.474,0.0,0.526
139,"Little comment from me, the product designer: 
The panoramic roof errors - it's never your (as a user) fault! It's the designer's guilt if it's not easy to understand and/or use! Remember that because designers are so many times just lazy.","
 @KosmaPL
 ",6 months ago (edited),0.0,0.272,0.728
140,You pushed  in! Matt. Expect better from you.,"
 @openmindedbloke
 ",5 months ago,0.313,0.0,0.687
141,Great video Mat!,"
 @ryanfrisby7389
 ",6 months ago,0.687,0.0,0.313
142,"You ALWAYS bang on about how noisy/creeky electric car brakes are, but all cars will do that, heck, even my 22yr old BMW 5 series does it! Next time you're in an ICE car, try it ","
 @ixissv7017
 ",6 months ago,0.0,0.0,1.0
143,"Why isn’t the UK going to get the more powerful GLC 400e petrol plug-in hybrid that will be offered in other markets? And also, why don't UK cars get the option of DC rapid charging that is offered in other markets?","
 @joshbacon8241
 ",6 months ago,0.079,0.0,0.921
144,A front end only a mother can love.,"
 @golfbuddy1969
 ",6 months ago,0.457,0.0,0.543
145,We need a video on the E53 AMG their isn’t any detailed videos on YouTube and it is an amazing car for what it is,"
 @jayshreepatel626
 ",6 months ago,0.142,0.0,0.858
146,Can't believe how Merc decided to stick Continental EcoContact 6 on a 300hp AMG trim SUV..... Should have been PremiumContact at least.,"
 @RS-nl2lp
 ",6 months ago,0.0,0.0,1.0
147,Finally a better quality interior camera (the one recording Matt),"
 @GameOn82
 ",6 months ago,0.266,0.0,0.734
148,Just curious why has Matt gone back to the stick for the exhausts when he has the carbon fibre stick from Rimac?? Probably answered before but i cant remember for the life of me,"
 @user-ry5yg1om4n
 ",6 months ago,0.058,0.045,0.897
149,X3 better built,"
 @cabottaxi
 ",6 months ago,0.592,0.0,0.408
150,"I think the prices of cars in the UK are ridiculously high - I really like the Mercedes GLC but I think £50,000+ even if I had that kind of money I would not spend it on a car....","
 @andy18091
 ",2 months ago,0.056,0.051,0.893
151,I'm starting to love this editor a little more,"
 @winstonngige9361
 ",6 months ago,0.375,0.0,0.625
152,very good review funny and interesting ,"
 @vigorgaming8
 ",6 months ago,0.751,0.0,0.249
153,"Hey Mat, looks great when wearing your glasses","
 @ahmedal-faqih2307
 ",6 months ago,0.369,0.0,0.631
154,I like GLC.look good ,"
 @bernardwood2276
 ",6 months ago,0.844,0.0,0.156
155,"Why does Carwow never review any of the new Jaguar models from the last two years? But as soon as a new German car launches, carwow has a review ready.","
 @MrEronZer0
 ",6 months ago,0.107,0.0,0.893
156,"I envy the UK for having this car available 

This model and specs are not available in the USA… ","
 @chana1692
 ",5 months ago,0.0,0.11,0.89
157,Cant wait for the coupe version of this.,"
 @dalaanibombina8822
 ",5 months ago,0.0,0.0,1.0
158,LOVE THE NEW GLC,"
 @tommyolsen8224
 ",6 months ago,0.583,0.0,0.417
159,8:31- 8:36 Matt cracks me up ,"
 @BDTTK9
 ",5 months ago (edited),0.0,0.0,1.0
160,"* Matt gets a girlfriend *
Matt : you can't escape the stick of truth","
 @calvinallan2208
 ",6 months ago,0.179,0.118,0.702
161,My W205 C43 does the exact brake sound as this one. I think all of their budget went to those cheap looks design instead of Mechanic,"
 @jackd232
 ",6 months ago,0.0,0.0,1.0
162,Fun how genesis has stuff then Mercedes has to take it. Genesis on top ,"
 @coletigrett7184
 ",4 months ago,0.298,0.0,0.702
163,It will be great... during warranty period.,"
 @milo9305
 ",6 months ago,0.0,0.0,1.0
164,Nice car but the price is just nasty considering how average the build quality is inside. But it's still the best looking in its class,"
 @samirav1137
 ",6 months ago,0.223,0.142,0.636
165,It's too tech advance that i'm afraid it wont last that long and a Pain once problems occure.,"
 @dawae2162
 ",6 months ago,0.0,0.286,0.714
166,Still want to know what happened to the Rimac stick of truth,"
 @Nico_lente
 ",6 months ago (edited),0.265,0.0,0.735
167,"@carwow, could you do a video of all the cars that got "" go ahead and buy it"" rating by Mads ? :)","
 @sarunask1586
 ",6 months ago,0.136,0.0,0.864
168,"""This being the range topping version has the fake wood effect on the dash"" ","
 @boris2385
 ",6 months ago,0.0,0.193,0.807
169,Matt got that roadman drip ,"
 @erpeppos
 ",5 months ago,0.0,0.0,1.0
170,"You kept telling us about how comfortable, agile and grippy this car was, however,  towards the end you said it was NOT FUN. 

Wish you had elaborated a bit on that as well.","
 @ESOLinFarsi
 ",2 months ago,0.139,0.141,0.72
171,Oh no! I can’t by a new mercedes everyday now,"
 @siddharthtrivedi2006
 ",6 months ago (edited),0.0,0.263,0.737
172,For as long as BMW continues to use the swivelwheel and actual buttons vs Audi and Mercedes I will be forever be a BMW driver. Maybe my X5 will appreciate in value if this non-button madness continues.,"
 @I23n00b
 ",5 months ago,0.128,0.072,0.8
