,Comment,id,date,Pos,Neg,Neu
71,"YouTube is strongly geared towards channels never changing, so naturally people are gonna have strong opinions, but the future of this channel is looking pretty bright regardless of who stays or goes.","
 @ITNoetic
 ",11 months ago,0.297,0.0,0.703
72,Very nice way to introduce Alex to the channel.,"
 @tshepiletlali
 ",11 months ago,0.279,0.0,0.721
73,"Don’t leave Rory you made autotrader content good, otherwise I never used to bother it was not good. Now I watch every upload so pls stay","
 @jaysean829
 ",11 months ago,0.322,0.04,0.638
74,Well done Alex keep up the good work,"
 @aidan.w.carolan
 ",11 months ago,0.455,0.0,0.545
75,"Excellent presenters, very honest,really enjoyed video ,10/10","
 @zingo2664
 ",11 months ago,0.593,0.0,0.407
76,"Cracking review and surely there's room for two reviewers on the channel? Rory don't you dare leave, look what happened to Top Gear without you!","
 @martinhutchinson9049
 ",11 months ago,0.218,0.0,0.782
77,She definitely did a great review ,"
 @dennnnnismo
 ",11 months ago,0.694,0.0,0.306
78,She's a excellent presenter! Give her time she will grow into her own.,"
 @AmariMaahes
 ",11 months ago,0.266,0.0,0.734
79,Not even 4 mins in and I like her. She's great honestly speaking,"
 @intocars2268
 ",11 months ago,0.545,0.0,0.455
80,Not sure why they need a new presenter. Long live RR!,"
 @anthonyfinch4401
 ",11 months ago,0.0,0.2,0.8
81,Rory is the best in the game... welcome Alexandra loved the intro!,"
 @gentnextdoor
 ",11 months ago,0.559,0.0,0.441
82,Awesome job Alex! ,"
 @Robbo123
 ",11 months ago,0.687,0.0,0.313
83,She's good but Rory you better stay!!,"
 @franga7870
 ",11 months ago,0.561,0.0,0.439
84,"Does this mean Rory's getting his own channel at long last? 
Hope so, he's the only good thing about autotrader - and he definitely doesn't need them.","
 @soafff
 ",11 months ago,0.27,0.0,0.73
85,"Well four things. 
1) I looove the Macan GTS
2) I love Rory
3) I  love this channel
And 4) well I think I could soon love your new presenter ","
 @ThomasJohnson-fr4gp
 ",11 months ago,0.457,0.0,0.543
86,it's beautiful  but I'd still take the Cayenne Turbo S E Hybrid ,"
 @sizakelecomfortmtshweni9530
 ",11 months ago,0.214,0.0,0.786
87,"11/10 Snowbunny, but I'm team RR and I don't mean Ruff Ryders. 

Going wherever Rory goes as usual, but hoping he stays with AT so he doesn't have to start over somewhere else","
 @wraith8323
 ",11 months ago,0.107,0.0,0.893
88,She’s a really good reviewer also! I hope to see more of her! We need more women car reviewers.,"
 @MrB8boy
 ",11 months ago,0.308,0.0,0.692
89,Great intro but I ️Cayenne Turbo GT for me despite the good review,"
 @artel6225
 ",11 months ago,0.342,0.169,0.489
90,Very cool to see different perspectives,"
 @301terf
 ",11 months ago,0.341,0.0,0.659
91,This is how it starts…,"
 @dou7902
 ",11 months ago,0.0,0.0,1.0
92,"Loved it, Good job guys!","
 @andrewcarter5066
 ",11 months ago,0.703,0.0,0.297
93,Welcome Alexandra. Great review. Looking forward to more content ️,"
 @nightnomad635
 ",11 months ago,0.504,0.0,0.496
94,I only tune in for Rory exceptional presentation. Dont go anywhere Rory,"
 @xrypro4080
 ",11 months ago,0.0,0.0,1.0
95,I'd like to see her drive fast! Love her character ,"
 @olivershongwe4302
 ",11 months ago,0.466,0.0,0.534
96,She is GOOD but Rory is GREAT.,"
 @rockyr2991
 ",11 months ago,0.645,0.0,0.355
97,"Hey...I watch this channel because Rory is the best. She is good, but I can't say I will stay tuned without him.","
 @jonathanpowell1255
 ",3 months ago,0.202,0.0,0.798
98,What size engine does it have? Please mention horse power and torque figures?,"
 @sanjsharma9903
 ",11 months ago,0.181,0.0,0.819
99,Alex is a refreshing new presenter,"
 @graemegodfrey3704
 ",9 months ago,0.0,0.0,1.0
100,Alexandra is good. Really very good. Rory is great. Nuff said.,"
 @lyricaldistributionsupport3280
 ",11 months ago,0.553,0.0,0.447
101,"All I know is this: if I can ever afford a Porsche, it won't be an SUV...","
 @DJ_SayWhaaaat
 ",11 months ago,0.0,0.0,1.0
102,Stay Rory stay! The female is also a good presenter. Looking forward to this partnership.,"
 @nhlakafistozshandu5376
 ",11 months ago (edited),0.197,0.0,0.803
103,Welcome on board. Loved the review style. Has the auto trader tone.,"
 @abhijithmohan8161
 ",11 months ago,0.408,0.0,0.592
